district_no,r2,mae,avg_deviation,name,data_point_count,is_low_data
03361,0.3827318715998057,66.16690025242893,116.17199710282412,Verden,22,False
03402,-99.0,11.456113433837913,165.18589401245117,Emden,1,True
03451,-11.167539607123409,106.55857550333663,123.35761896769203,Ammerland,3,True
03452,-11.665327799910475,120.01719897853395,157.48652136325836,Aurich,4,True
03453,0.8169680207978598,33.42931335608164,137.93297932545343,Cloppenburg,12,False
03454,0.3570828758400644,72.93313301889518,135.70729237245885,Emsland,19,False
03456,0.20015831168012965,86.02972110430737,139.92148678643363,Grafschaft Bentheim,7,True
03457,0.5619915596675822,48.60211013603212,130.8523689587911,Leer,15,False
03458,0.6146829036446311,49.607501188814624,118.31246083974838,Oldenburg,16,False
03459,0.8177156729678257,34.40603404794421,126.30897148450215,Osnabrück,21,False
03460,0.625585850582637,47.833121631741534,110.90245622396469,Vechta,12,False
03461,-99.0,80.04678649902348,146.50834131240845,Wesermarsch,1,True
05116,0.1213443463126368,90.57676354885102,144.036694640205,Mönchengladbach,21,False
05124,-5.350364387150341,62.331080775790745,181.3823782602946,Wuppertal,6,True
05154,0.37405312697839643,59.639550506851904,135.35599079999056,Kleve,22,False
05158,0.6047127505354258,50.16907026767731,136.1911641098559,Mettmann,16,False
05162,0.5247897159453287,57.981531050855466,134.5856569897045,Rhein-Kreis Neuss,22,False
05166,0.4661053394714133,72.32965518065863,133.94414411272322,Viersen,21,False
05170,0.024747263852411994,86.53318975818163,130.56576657295227,Wesel,20,False
05315,0.198126621800079,50.72261735637982,122.42882712682088,Köln,12,False
05316,0.051162761781208155,42.22584579885006,134.50518894195557,Leverkusen,16,False
05334,0.5459612324068893,55.638441179898024,150.5813653821295,Städteregion Aachen,22,False
05358,0.2312590687670113,65.93966015826571,138.333378683437,Düren,22,False
05362,0.5004852573423102,54.0575288306583,139.17043317448008,Rhein-Erft-Kreis,22,False
05366,0.052150265447232114,73.72588422536852,152.45430229468778,Euskirchen,22,False
05370,0.5910017083848236,53.53529437346891,135.62110179120845,Heinsberg,22,False
05378,-99.0,3.456571578979492,193.89844512939453,Rheinisch-Bergischer Kreis,1,True
05382,-0.13196195230194951,85.73208580363881,147.0239440094341,Rhein-Sieg-Kreis,22,False
05515,0.2929220551366144,72.23506605495106,119.0187036340887,Münster,11,False
05554,-0.12795075004001477,86.93549506859347,138.85881553996694,Borken,22,False
05558,0.47183274869000524,95.12792961524082,129.07032078963059,Coesfeld,13,False
05562,-0.4907137750359025,70.75062992930414,119.13254761695862,Recklinghausen,8,True
05566,-1.499943693041041,49.7860960438377,127.45501392766049,Steinfurt,19,False
05570,-0.7042530970236476,66.83944343298676,122.42526462674141,Warendorf,16,False
05754,-0.01993020567459869,80.56880744482342,134.23892056314568,Gütersloh,19,False
05758,0.5926960171168862,67.4528143335524,135.0610668772743,Herford,21,False
05762,0.558241543631365,63.67685256437823,133.93678584965792,Höxter,22,False
05766,0.46515030044844485,57.14773434769024,136.7616694732146,Lippe,22,False
05770,0.7394242597688256,29.8777315413952,110.62541650980711,Minden-Lübbecke,16,False
05774,0.2966978976943533,68.01411655664444,130.93318864703178,Paderborn,16,False
