district_no,year,kreisYield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,Crop,Field_ha,Harvested_t,Yield_dt/ha,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,kreisField_ha,winter_temp_anomaly,winter_precip_anomaly
03354,2021,79.16,193.9181365966797,17.557178497314453,0.0,13331694.0,39.92315427805637,43.17562863257,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9465.83679310728,-0.2740153247252124,-0.032782273406872564
03355,2017,75.58,323.3327941894531,16.261425018310547,0.0,13343737.0,38.40780862308837,48.089519521973926,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,9385.751622626782,-2.1961068315133616,-0.573153601779144
03355,2019,76.38,202.5933380126953,17.502948760986328,7.0,14421837.0,38.40780862308837,48.089519521973926,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10648.094902726041,0.6536170305225824,-0.26630640010065887
03355,2020,75.45,177.945556640625,17.407482147216797,5.0,14598347.0,38.40780862308837,48.089519521973926,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9464.609639382756,0.87351624454584,0.23289549235760743
03355,2021,77.89,192.58221435546875,17.38576889038086,0.0,13376472.0,38.40780862308837,48.089519521973926,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9313.972054258795,-0.27796812196106657,-0.029983872724273275
03357,2017,88.53,301.6034240722656,16.159713745117188,0.0,13360309.0,27.1948989674917,53.57489479719908,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10993.92155532084,-2.176693525966016,-0.569875720743569
03357,2019,71.66,216.04421997070312,17.29888343811035,6.0,14539123.0,27.1948989674917,53.57489479719908,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,9990.082230025506,0.5547185779537358,-0.18866032294441037
03357,2020,68.88,194.70155334472656,17.200490951538086,7.0,14450413.0,27.1948989674917,53.57489479719908,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,8640.45476422378,0.7799724735871223,0.20629758616418892
03357,2021,86.33,229.06576538085935,17.149925231933594,0.0,13589427.0,27.1948989674917,53.57489479719908,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,10323.214885661338,-0.1849682104278827,-0.049835802463680245
03358,2017,84.89,352.77838134765625,16.174304962158203,0.0,13295231.0,64.32476132692005,47.13149378999935,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10541.895412077105,-2.2393886873519477,-0.5644429371513955
