year,district_no,mild_winter_days,fungal_risk_days,VegetationVigorIndex,RootZoneDepletion
2009,03251,17,0,0.0496223963516563,0.12275482598080963
2010,03251,8,2,-0.302870016202133,0.17483679844458846
2011,03251,29,5,-0.1628703715240997,0.09066371547551254
2012,03251,28,3,-0.010874022080710997,0.04494830552775435
2013,03251,18,2,-0.046612035081205205,0.11962000058481242
2014,03251,44,5,0.0141989977725864,0.06534317353208631
2015,03251,31,1,0.2097280034049545,0.09893487374344669
2016,03251,29,6,0.0273940621691357,0.026333972324489016
2017,03251,23,1,0.0328033793535476,0.07605409604519775
2018,03251,25,1,0.210490026741012,0.04727911452626723
2019,03251,32,0,0.2045594964039345,0.04643493239869361
2020,03251,53,11,0.1048412401620884,0.04470909649122807
2021,03251,27,3,0.040507273702022895,0.02661720329892556
2022,03251,47,6,0.1598591956217505,0.07828104722222223
2023,03251,36,8,0.057108008853030294,0.08725731537251875
2024,03251,40,15,-0.16740483500219672,0.03153177161795721
1981,03252,8,0,,
1982,03252,18,0,,
1983,03252,25,2,,
1984,03252,19,0,,
1985,03252,7,0,,
1986,03252,9,0,,
1987,03252,8,0,,
1988,03252,37,3,,
1989,03252,34,3,,0.017278856706095965
1990,03252,44,4,,0.0026425664605464827
1991,03252,17,2,,0.04186444805194805
1992,03252,32,1,,0.13332323633283272
1993,03252,23,4,,0.03825924589084769
1994,03252,26,3,,0.002994720308096825
1995,03252,31,5,,0.043413196815775996
1996,03252,7,0,,13.355225
1997,03252,23,2,,0.10873157869084175
1998,03252,39,1,,0.1253159498271325
1999,03252,31,2,,0.07195068438801824
2000,03252,29,1,,0.21284417388035545
2001,03252,25,4,0.2956111483993151,0.23584058494596633
2002,03252,32,10,0.0090353674740065,0.04535247635580599
2003,03252,13,0,-0.0764814711593432,0.12096989084842333
2004,03252,22,4,-0.1235220500950588,0.07191571548557649
2005,03252,23,2,-0.017976353114596402,0.11022185659628365
2006,03252,9,0,-0.083693691120427,0.2829979650215447
2007,03252,44,10,0.0812449248682668,0.03677100743705754
2008,03252,36,4,-0.09322241301043149,0.0462006186541614
2009,03252,14,0,-0.10223278821334711,0.0986806993249091
2010,03252,9,2,-0.1771541004295069,0.13877556898547
2011,03252,23,3,-0.107996797721727,0.07310264785414046
2012,03252,25,2,0.0187435508991778,0.05000519114610471
2013,03252,18,2,-0.0601142439728964,0.124301890153742
2014,03252,40,3,0.1016709625079327,0.04588909283134122
2015,03252,25,2,0.1812462793341959,0.12504963684036044
2016,03252,28,4,0.07285485320596159,0.04067778651730028
2017,03252,17,1,0.0106171152373392,0.06183403163903537
2018,03252,21,1,0.2029271223308024,0.06376384996675839
2019,03252,29,1,0.21651213513144069,0.04999643853602495
2020,03252,47,8,0.1538307326986904,0.08638053912465418
2021,03252,21,1,0.0282245805765615,0.03848209626408381
2022,03252,44,4,0.087280551600128,0.1407438985399126
2023,03252,33,4,0.09136351789695821,0.0739226002820163
2024,03252,40,9,-0.1179334333234425,0.025079111165674295
1981,03254,9,0,,
1982,03254,19,1,,
1983,03254,24,2,,
1984,03254,20,0,,
1985,03254,7,0,,
1986,03254,9,0,,
1987,03254,8,0,,
1988,03254,36,3,,
1989,03254,35,3,,0.03506121661504448
1990,03254,47,3,,0.009556091590291667
1991,03254,17,3,,0.0624739967239967
1992,03254,33,1,,0.15536166426004902
1993,03254,23,2,,0.04644366190814664
1994,03254,25,2,,0.00343093190972532
1995,03254,28,5,,0.055657331592288195
1996,03254,7,0,,0.9096236616702355
1997,03254,26,3,,0.07256998927443542
1998,03254,40,1,,0.13055270482184214
1999,03254,32,2,,0.06763937708057824
2000,03254,29,1,,0.13516816008285712
2001,03254,25,3,0.2472540241355462,0.1134220314548266
2002,03254,31,9,0.0123421524409364,0.05859479709435664
2003,03254,13,0,-0.12593922861833678,0.113800163735277
2004,03254,22,4,-0.07124919750575781,0.08219856881054192
2005,03254,23,1,0.007858118968035099,0.11044060544060542
2006,03254,8,0,-0.009965020522205301,0.3481931882545834
2007,03254,44,10,0.1578494480620005,0.053810288202823776
2008,03254,37,3,-0.0794848401298774,0.056708970654421396
2009,03254,14,0,-0.036573899442476396,0.09894163095941685
2010,03254,8,2,-0.16933332398612722,0.19204688996795827
2011,03254,22,2,-0.0975866888797675,0.09453568550707953
2012,03254,28,2,0.0008278212566946996,0.08189529868009253
2013,03254,18,1,-0.1808177904041975,0.1338919278844938
2014,03254,40,3,0.06554188613640691,0.0425020481594243
2015,03254,28,2,0.1955207908353119,0.173878345674553
2016,03254,28,5,0.0675103448065107,0.05277733781319708
2017,03254,15,1,0.023708587876422,0.07474844369779271
2018,03254,21,1,0.1765358076593816,0.07393939910747278
2019,03254,30,1,0.17493322328150868,0.06754488018363976
2020,03254,48,10,0.1234331152040582,0.10317059679655896
2021,03254,22,1,0.013118668769027599,0.04620154034508286
2022,03254,45,4,0.1051065533475469,0.16357538716123393
2023,03254,34,5,0.10003690792045222,0.09396658442131407
2024,03254,39,10,-0.10979196121109341,0.03144557513106949
1981,03255,5,0,,
1982,03255,16,0,,
